|Date|Address|Species|Block|Street|Trap|AddressNumberAndStreet|Latitude|Longitude|AddressAccuracy|NumMosquitos|WnvPresent
919|2007-08-01|4200 West 127th Street, Alsip, IL 60803, USA|CULEX PIPIENS|42| W 127TH PL|T135|4200  W 127TH PL, Chicago, IL|41.662014|-87.72460799999999|8|10|1
970|2007-08-01|4500 North Campbell Avenue, Chicago, IL 60625, USA|CULEX PIPIENS/RESTUANS|45| N CAMPBELL AVE|T220|4500  N CAMPBELL AVE, Chicago, IL|41.963976|-87.69181|9|2|1
986|2007-08-01|7000 North Moselle Avenue, Chicago, IL 60646, USA|CULEX PIPIENS|70| N MOSELL AVE|T008|7000  N MOSELL AVE, Chicago, IL|42.008314|-87.77792099999999|9|50|1
1047|2007-08-01|3300 North Rutherford Avenue, Chicago, IL 60634, USA|CULEX PIPIENS|33| N RUTHERFORD AVE|T144|3300  N RUTHERFORD AVE, Chicago, IL|41.94016|-87.794896|9|10|1
1078|2007-08-01|Chicago Midway International Airport (MDW), 5200 West 63rd Street, Chicago, IL 60638, USA|CULEX PIPIENS/RESTUANS|52| W 63RD ST|T065|5200  W 63RD ST, Chicago, IL|41.778296999999995|-87.752411|9|28|1
1159|2007-08-01|4000 South Dearborn Street, Chicago, IL 60609, USA|CULEX PIPIENS/RESTUANS|40| S DEARBORN ST|T081|4000  S DEARBORN ST, Chicago, IL|41.821582|-87.62779599999999|9|13|1
1166|2007-08-01|5000 South Union Avenue, Chicago, IL 60609, USA|CULEX PIPIENS/RESTUANS|50| S UNION AVE|T082|5000  S UNION AVE, Chicago, IL|41.803422999999995|-87.642984|8|3|1
1250|2007-08-01|South Stony Island Avenue, Chicago, IL, USA|CULEX PIPIENS/RESTUANS|10| S STONY ISLAND AVE|T138|1000  S STONY ISLAND AVE, Chicago, IL|41.726465000000005|-87.585413|5|16|1
1306|2007-08-01|South Avenue L, Chicago, IL 60617, USA|CULEX PIPIENS/RESTUANS|11| S AVENUE L|T103|1100  S AVENUE L, Chicago, IL|41.702723999999996|-87.536497|5|50|1
1309|2007-08-01|South Avenue L, Chicago, IL 60617, USA|CULEX PIPIENS/RESTUANS|11| S AVENUE L|T103|1100  S AVENUE L, Chicago, IL|41.702723999999996|-87.536497|5|50|1
1310|2007-08-01|South Avenue L, Chicago, IL 60617, USA|CULEX PIPIENS/RESTUANS|11| S AVENUE L|T103|1100  S AVENUE L, Chicago, IL|41.702723999999996|-87.536497|5|50|1
1332|2007-08-02|2200 West 89th Street, Chicago, IL 60643, USA|CULEX PIPIENS/RESTUANS|22| W 89TH ST|T096|2200  W 89TH ST, Chicago, IL|41.731922|-87.677512|8|9|1
1411|2007-08-02|South Stony Island Avenue, Chicago, IL, USA|CULEX PIPIENS|10| S STONY ISLAND AVE|T138|1000  S STONY ISLAND AVE, Chicago, IL|41.726465000000005|-87.585413|5|50|1
1423|2007-08-02|3700 118th Street, Chicago, IL 60617, USA|CULEX PIPIENS/RESTUANS|37| E 118TH ST|T212|3700  E 118TH ST, Chicago, IL|41.680946|-87.535198|8|48|1
1476|2007-08-07|7900 West Foster Avenue, Chicago, IL 60656, USA|CULEX PIPIENS|79| W FOSTER AVE|T015|7900  W FOSTER AVE, Chicago, IL|41.974089|-87.824812|8|26|1
1502|2007-08-07|6500 North Oak Park Avenue, Chicago, IL 60631, USA|CULEX PIPIENS/RESTUANS|65| N OAK PARK AVE|T143|6500  N OAK PARK AVE, Chicago, IL|41.999128999999996|-87.795585|8|15|1
1503|2007-08-07|6500 North Oak Park Avenue, Chicago, IL 60631, USA|CULEX PIPIENS|65| N OAK PARK AVE|T143|6500  N OAK PARK AVE, Chicago, IL|41.999128999999996|-87.795585|8|29|1
1515|2007-08-07|3600 North Pittsburgh Avenue, Chicago, IL 60634, USA|CULEX PIPIENS/RESTUANS|36| N PITTSBURGH AVE|T011|3600  N PITTSBURGH AVE, Chicago, IL|41.944869|-87.832763|8|28|1
1517|2007-08-07|3600 North Pittsburgh Avenue, Chicago, IL 60634, USA|CULEX PIPIENS|36| N PITTSBURGH AVE|T011|3600  N PITTSBURGH AVE, Chicago, IL|41.944869|-87.832763|8|43|1
1519|2007-08-07|7200 North Oketo Avenue, Chicago, IL 60631, USA|CULEX PIPIENS|72| N OKETO AVE|T016|7200  N OKETO AVE, Chicago, IL|42.011601|-87.81150600000001|8|37|1
1561|2007-08-07|9300 South Doctor Martin Luther King Junior Drive, Chicago, IL 60619, USA|CULEX PIPIENS|93| S DR MARTIN LUTHER KING JR DR|T162|9300  S DR MARTIN LUTHER KING JR DR, Chicago, IL|41.725516999999996|-87.61425799999999|8|7|1
1575|2007-08-07|7000 North Moselle Avenue, Chicago, IL 60646, USA|CULEX PIPIENS|70| N MOSELL AVE|T008|7000  N MOSELL AVE, Chicago, IL|42.008314|-87.77792099999999|9|50|1
1576|2007-08-07|7000 North Moselle Avenue, Chicago, IL 60646, USA|CULEX PIPIENS|70| N MOSELL AVE|T008|7000  N MOSELL AVE, Chicago, IL|42.008314|-87.77792099999999|9|20|1
1591|2007-08-07|6400 West Strong Street, Chicago, IL, USA|CULEX PIPIENS|64| W STRONG ST|T014|6400  W STRONG ST, Chicago, IL|41.970248|-87.787992|8|44|1
1599|2007-08-07|1100 North Artesian Avenue, Chicago, IL 60622, USA|CULEX RESTUANS|11| S ARTESIAN AVE|T160|1100  S ARTESIAN AVE, Chicago, IL|41.903002|-87.68826700000001|8|1|1
1633|2007-08-07|5000 South Union Avenue, Chicago, IL 60609, USA|CULEX PIPIENS|50| S UNION AVE|T082|5000  S UNION AVE, Chicago, IL|41.803422999999995|-87.642984|8|8|1
1653|2007-08-08|South Doty Avenue, Chicago, IL, USA|CULEX PIPIENS/RESTUANS|12| S DOTY AVE|T115|1200  S DOTY AVE, Chicago, IL|41.673408|-87.599862|5|30|1
1671|2007-08-08|South Doty Avenue, Chicago, IL, USA|CULEX PIPIENS|12| S DOTY AVE|T115|1200  S DOTY AVE, Chicago, IL|41.673408|-87.599862|5|30|1
1685|2007-08-08|South Doty Avenue, Chicago, IL, USA|CULEX PIPIENS|12| S DOTY AVE|T115|1200  S DOTY AVE, Chicago, IL|41.673408|-87.599862|5|37|1
1699|2007-08-08|South Stony Island Avenue, Chicago, IL, USA|CULEX PIPIENS|10| S STONY ISLAND AVE|T138|1000  S STONY ISLAND AVE, Chicago, IL|41.726465000000005|-87.585413|5|50|1
1709|2007-08-08|South Stony Island Avenue, Chicago, IL, USA|CULEX PIPIENS|10| S STONY ISLAND AVE|T138|1000  S STONY ISLAND AVE, Chicago, IL|41.726465000000005|-87.585413|5|50|1
1730|2007-08-08|2400 East 105th Street, Chicago, IL 60617, USA|CULEX PIPIENS/RESTUANS|24| E 105TH ST|T128|2400  E 105TH ST, Chicago, IL|41.704572|-87.56566600000001|8|31|1
1745|2007-08-08|South Avenue L, Chicago, IL 60617, USA|CULEX PIPIENS|11| S AVENUE L|T103|1100  S AVENUE L, Chicago, IL|41.702723999999996|-87.536497|5|50|1
1763|2007-08-09|South Brandon Avenue, Chicago, IL 60617, USA|CULEX PIPIENS|13| S BRANDON|T209|1300  S BRANDON, Chicago, IL|41.740641|-87.546587|5|41|1
1772|2007-08-15|4100 North Oak Park Avenue, Chicago, IL 60634, USA|CULEX PIPIENS/RESTUANS|41| N OAK PARK AVE|T002|4100  N OAK PARK AVE, Chicago, IL|41.95469|-87.800991|9|41|1
1779|2007-08-15|7900 West Foster Avenue, Chicago, IL 60656, USA|CULEX PIPIENS|79| W FOSTER AVE|T015|7900  W FOSTER AVE, Chicago, IL|41.974089|-87.824812|8|11|1
1781|2007-08-15|1500 West Webster Avenue, Chicago, IL 60614, USA|CULEX PIPIENS/RESTUANS|15| W WEBSTER AVE|T045|1500  W WEBSTER AVE, Chicago, IL|41.9216|-87.666455|8|42|1
1788|2007-08-15|1100 Roosevelt Road, Chicago, IL 60608, USA|CULEX RESTUANS|11| W ROOSEVELT|T048|1100  W ROOSEVELT, Chicago, IL|41.867108|-87.654224|8|1|1
1789|2007-08-15|1100 Roosevelt Road, Chicago, IL 60608, USA|CULEX PIPIENS|11| W ROOSEVELT|T048|1100  W ROOSEVELT, Chicago, IL|41.867108|-87.654224|8|3|1
1791|2007-08-15|1100 West Chicago Avenue, Chicago, IL 60642, USA|CULEX RESTUANS|11| W CHICAGO|T049|1100  W CHICAGO, Chicago, IL|41.896282|-87.655232|8|1|1
1802|2007-08-15|2200 West 113th Street, Chicago, IL 60643, USA|CULEX RESTUANS|22| W 113TH ST|T086|2200  W 113TH ST, Chicago, IL|41.688324|-87.676709|8|1|1
1818|2007-08-15|6500 North Oak Park Avenue, Chicago, IL 60631, USA|CULEX PIPIENS/RESTUANS|65| N OAK PARK AVE|T143|6500  N OAK PARK AVE, Chicago, IL|41.999128999999996|-87.795585|8|25|1
1819|2007-08-15|6500 North Oak Park Avenue, Chicago, IL 60631, USA|CULEX PIPIENS/RESTUANS|65| N OAK PARK AVE|T143|6500  N OAK PARK AVE, Chicago, IL|41.999128999999996|-87.795585|8|42|1
1821|2007-08-15|6500 North Oak Park Avenue, Chicago, IL 60631, USA|CULEX PIPIENS|65| N OAK PARK AVE|T143|6500  N OAK PARK AVE, Chicago, IL|41.999128999999996|-87.795585|8|31|1
1831|2007-08-15|9100 West Higgins Avenue, Chicago, IL 60656, USA|CULEX PIPIENS/RESTUANS|91| W HIGGINS AVE|T009|9100  W HIGGINS AVE, Chicago, IL|41.981964000000005|-87.812827|8|38|1
1832|2007-08-15|9100 West Higgins Avenue, Chicago, IL 60656, USA|CULEX PIPIENS|91| W HIGGINS AVE|T009|9100  W HIGGINS AVE, Chicago, IL|41.981964000000005|-87.812827|8|27|1
1833|2007-08-15|3600 North Pittsburgh Avenue, Chicago, IL 60634, USA|CULEX PIPIENS/RESTUANS|36| N PITTSBURGH AVE|T011|3600  N PITTSBURGH AVE, Chicago, IL|41.944869|-87.832763|8|39|1
1834|2007-08-15|3600 North Pittsburgh Avenue, Chicago, IL 60634, USA|CULEX PIPIENS|36| N PITTSBURGH AVE|T011|3600  N PITTSBURGH AVE, Chicago, IL|41.944869|-87.832763|8|25|1
1835|2007-08-15|7200 North Oketo Avenue, Chicago, IL 60631, USA|CULEX PIPIENS/RESTUANS|72| N OKETO AVE|T016|7200  N OKETO AVE, Chicago, IL|42.011601|-87.81150600000001|8|49|1
1837|2007-08-15|7200 North Oketo Avenue, Chicago, IL 60631, USA|CULEX PIPIENS|72| N OKETO AVE|T016|7200  N OKETO AVE, Chicago, IL|42.011601|-87.81150600000001|8|50|1
1838|2007-08-15|7200 North Oketo Avenue, Chicago, IL 60631, USA|CULEX PIPIENS|72| N OKETO AVE|T016|7200  N OKETO AVE, Chicago, IL|42.011601|-87.81150600000001|8|50|1
1839|2007-08-15|7200 North Oketo Avenue, Chicago, IL 60631, USA|CULEX PIPIENS|72| N OKETO AVE|T016|7200  N OKETO AVE, Chicago, IL|42.011601|-87.81150600000001|8|18|1
1850|2007-08-15|1400 North Sacramento Avenue, Chicago, IL 60622, USA|CULEX PIPIENS|14| N HUMBOLDT DR|T033|1400  N HUMBOLDT DR, Chicago, IL|41.906638|-87.701431|9|14|1
1867|2007-08-15|4000 North Austin Avenue, Chicago, IL 60634, USA|CULEX PIPIENS|40| N AUSTIN AVE|T142|4000  N AUSTIN AVE, Chicago, IL|41.953067|-87.776792|8|9|1
1869|2007-08-15|Chicago, IL, USA|CULEX PIPIENS|43| N ASHLAND AVE OVERPASS|T145|4300  N ASHLAND AVE OVERPASS, Chicago, IL|41.878114000000004|-87.629798|3|25|1
1883|2007-08-15|2100 North Lawler Avenue, Chicago, IL 60639, USA|CULEX PIPIENS|21| N LAWLER AVE|T154|2100  N LAWLER AVE, Chicago, IL|41.918704999999996|-87.752329|8|14|1
1885|2007-08-15|3500 West 116th Street, Chicago, IL 60655, USA|CULEX PIPIENS/RESTUANS|35| W 116TH ST|T158|3500  W 116TH ST, Chicago, IL|41.682587|-87.707973|9|30|1
1897|2007-08-15|4600 Milwaukee Avenue, Chicago, IL 60630, USA|CULEX PIPIENS/RESTUANS|46| N MILWAUKEE AVE|T003|4600  N MILWAUKEE AVE, Chicago, IL|41.964242|-87.757639|8|27|1
1900|2007-08-15|4600 Milwaukee Avenue, Chicago, IL 60630, USA|CULEX PIPIENS|46| N MILWAUKEE AVE|T003|4600  N MILWAUKEE AVE, Chicago, IL|41.964242|-87.757639|8|49|1
1901|2007-08-15|6000 North Avondale Avenue, Chicago, IL 60631, USA|CULEX PIPIENS/RESTUANS|60| N AVONDALE AVE|T006|6000  N AVONDALE AVE, Chicago, IL|41.990284|-87.797127|8|16|1
1902|2007-08-15|6000 North Avondale Avenue, Chicago, IL 60631, USA|CULEX PIPIENS|60| N AVONDALE AVE|T006|6000  N AVONDALE AVE, Chicago, IL|41.990284|-87.797127|8|20|1
1904|2007-08-15|7000 North Moselle Avenue, Chicago, IL 60646, USA|CULEX PIPIENS|70| N MOSELL AVE|T008|7000  N MOSELL AVE, Chicago, IL|42.008314|-87.77792099999999|9|12|1
1906|2007-08-15|6100 North Lemont Avenue, Chicago, IL 60646, USA|CULEX PIPIENS|61| N LEMONT AVE|T012|6100  N LEMONT AVE, Chicago, IL|41.991429|-87.747113|8|16|1
1955|2007-08-15|3000 South Hoyne Avenue, Chicago, IL 60608, USA|CULEX RESTUANS|30| S HOYNE AVE|T035|3000  S HOYNE AVE, Chicago, IL|41.836644|-87.677737|8|1|1
1965|2007-08-15|2200 West 51st Street, Chicago, IL 60609, USA|CULEX PIPIENS|22| W 51ST ST|T061|2200  W 51ST ST, Chicago, IL|41.801179|-87.679447|8|35|1
1975|2007-08-15|6700 South Kedzie Avenue, Chicago, IL 60629, USA|CULEX PIPIENS|67| S KEDZIE AVE|T066|6700  S KEDZIE AVE, Chicago, IL|41.77166|-87.703047|8|20|1
1988|2007-08-15|3900 South Ashland Avenue, Chicago, IL 60609, USA|CULEX PIPIENS|39| S ASHLAND AVE|T074|3900  S ASHLAND AVE, Chicago, IL|41.822536|-87.66634300000001|9|39|1
2005|2007-08-15|5000 South Union Avenue, Chicago, IL 60609, USA|CULEX PIPIENS|50| S UNION AVE|T082|5000  S UNION AVE, Chicago, IL|41.803422999999995|-87.642984|8|36|1
2011|2007-08-15|5200 South Kolmar Avenue, Chicago, IL 60632, USA|CULEX PIPIENS|52| S KOLMAR|T114|5200  S KOLMAR, Chicago, IL|41.798697|-87.736812|8|23|1
2012|2007-08-15|6300 West 64th Street, Chicago, IL 60638, USA|CULEX PIPIENS/RESTUANS|63| W 64TH ST|T155|6300  W 64TH ST, Chicago, IL|41.776156|-87.778927|9|20|1
2013|2007-08-15|6300 West 64th Street, Chicago, IL 60638, USA|CULEX PIPIENS|63| W 64TH ST|T155|6300  W 64TH ST, Chicago, IL|41.776156|-87.778927|9|26|1
2050|2007-08-16|South Doty Avenue, Chicago, IL, USA|CULEX PIPIENS/RESTUANS|12| S DOTY AVE|T115|1200  S DOTY AVE, Chicago, IL|41.673408|-87.599862|5|44|1
2058|2007-08-16|South Doty Avenue, Chicago, IL, USA|CULEX PIPIENS|12| S DOTY AVE|T115|1200  S DOTY AVE, Chicago, IL|41.673408|-87.599862|5|50|1
2061|2007-08-16|South Doty Avenue, Chicago, IL, USA|CULEX PIPIENS|12| S DOTY AVE|T115|1200  S DOTY AVE, Chicago, IL|41.673408|-87.599862|5|50|1
2063|2007-08-16|South Doty Avenue, Chicago, IL, USA|CULEX PIPIENS|12| S DOTY AVE|T115|1200  S DOTY AVE, Chicago, IL|41.673408|-87.599862|5|50|1
2069|2007-08-16|South Doty Avenue, Chicago, IL, USA|CULEX PIPIENS|12| S DOTY AVE|T115|1200  S DOTY AVE, Chicago, IL|41.673408|-87.599862|5|50|1
2070|2007-08-16|South Doty Avenue, Chicago, IL, USA|CULEX PIPIENS|12| S DOTY AVE|T115|1200  S DOTY AVE, Chicago, IL|41.673408|-87.599862|5|32|1
2072|2007-08-16|South Doty Avenue, Chicago, IL, USA|CULEX PIPIENS|12| S DOTY AVE|T115|1200  S DOTY AVE, Chicago, IL|41.673408|-87.599862|5|50|1
2076|2007-08-16|South Doty Avenue, Chicago, IL, USA|CULEX PIPIENS|12| S DOTY AVE|T115|1200  S DOTY AVE, Chicago, IL|41.673408|-87.599862|5|50|1
2078|2007-08-16|South Doty Avenue, Chicago, IL, USA|CULEX PIPIENS|12| S DOTY AVE|T115|1200  S DOTY AVE, Chicago, IL|41.673408|-87.599862|5|50|1
2095|2007-08-16|South Doty Avenue, Chicago, IL, USA|CULEX PIPIENS|12| S DOTY AVE|T115|1200  S DOTY AVE, Chicago, IL|41.673408|-87.599862|5|50|1
2100|2007-08-16|South Doty Avenue, Chicago, IL, USA|CULEX PIPIENS|12| S DOTY AVE|T115|1200  S DOTY AVE, Chicago, IL|41.673408|-87.599862|5|50|1
2105|2007-08-16|South Stony Island Avenue, Chicago, IL, USA|CULEX PIPIENS|10| S STONY ISLAND AVE|T138|1000  S STONY ISLAND AVE, Chicago, IL|41.726465000000005|-87.585413|5|50|1
2108|2007-08-16|South Stony Island Avenue, Chicago, IL, USA|CULEX PIPIENS|10| S STONY ISLAND AVE|T138|1000  S STONY ISLAND AVE, Chicago, IL|41.726465000000005|-87.585413|5|50|1
2125|2007-08-16|2400 East 105th Street, Chicago, IL 60617, USA|CULEX PIPIENS|24| E 105TH ST|T128|2400  E 105TH ST, Chicago, IL|41.704572|-87.56566600000001|8|50|1
2131|2007-08-16|2400 East 105th Street, Chicago, IL 60617, USA|CULEX PIPIENS|24| E 105TH ST|T128|2400  E 105TH ST, Chicago, IL|41.704572|-87.56566600000001|8|50|1
2140|2007-08-16|2400 East 105th Street, Chicago, IL 60617, USA|CULEX PIPIENS|24| E 105TH ST|T128|2400  E 105TH ST, Chicago, IL|41.704572|-87.56566600000001|8|50|1
2153|2007-08-17|South Stony Island Avenue, Chicago, IL, USA|CULEX PIPIENS|10| S STONY ISLAND AVE|T138|1000  S STONY ISLAND AVE, Chicago, IL|41.726465000000005|-87.585413|5|43|1
2167|2007-08-17|South Brandon Avenue, Chicago, IL 60617, USA|CULEX PIPIENS|13| S BRANDON|T209|1300  S BRANDON, Chicago, IL|41.740641|-87.546587|5|37|1
2181|2007-08-17|3800 East 115th Street, Chicago, IL 60617, USA|CULEX PIPIENS|38| E 115TH ST|T215|3800  E 115TH ST, Chicago, IL|41.686398|-87.531635|8|30|1
2184|2007-08-17|4000 East 130th Street, Chicago, IL 60633, USA|CULEX PIPIENS/RESTUANS|40| E 130TH ST|T221|4000  E 130TH ST, Chicago, IL|41.659112|-87.53869300000001|8|50|1
2190|2007-08-17|4000 East 130th Street, Chicago, IL 60633, USA|CULEX PIPIENS|40| E 130TH ST|T221|4000  E 130TH ST, Chicago, IL|41.659112|-87.53869300000001|8|48|1
2191|2007-08-17|4000 East 130th Street, Chicago, IL 60633, USA|CULEX PIPIENS|40| E 130TH ST|T221|4000  E 130TH ST, Chicago, IL|41.659112|-87.53869300000001|8|50|1
2192|2007-08-17|4000 East 130th Street, Chicago, IL 60633, USA|CULEX PIPIENS|40| E 130TH ST|T221|4000  E 130TH ST, Chicago, IL|41.659112|-87.53869300000001|8|50|1
2195|2007-08-21|4100 North Oak Park Avenue, Chicago, IL 60634, USA|CULEX PIPIENS/RESTUANS|41| N OAK PARK AVE|T002|4100  N OAK PARK AVE, Chicago, IL|41.95469|-87.800991|9|23|1
2198|2007-08-21|7900 West Foster Avenue, Chicago, IL 60656, USA|CULEX PIPIENS/RESTUANS|79| W FOSTER AVE|T015|7900  W FOSTER AVE, Chicago, IL|41.974089|-87.824812|8|5|1
2200|2007-08-21|1500 West Webster Avenue, Chicago, IL 60614, USA|CULEX PIPIENS/RESTUANS|15| W WEBSTER AVE|T045|1500  W WEBSTER AVE, Chicago, IL|41.9216|-87.666455|8|28|1
2201|2007-08-21|1500 West Webster Avenue, Chicago, IL 60614, USA|CULEX PIPIENS|15| W WEBSTER AVE|T045|1500  W WEBSTER AVE, Chicago, IL|41.9216|-87.666455|8|17|1
2214|2007-08-21|2200 West 113th Street, Chicago, IL 60643, USA|CULEX PIPIENS/RESTUANS|22| W 113TH ST|T086|2200  W 113TH ST, Chicago, IL|41.688324|-87.676709|8|48|1
2216|2007-08-21|2200 West 113th Street, Chicago, IL 60643, USA|CULEX PIPIENS|22| W 113TH ST|T086|2200  W 113TH ST, Chicago, IL|41.688324|-87.676709|8|50|1
2219|2007-08-21|6500 North Oak Park Avenue, Chicago, IL 60631, USA|CULEX PIPIENS|65| N OAK PARK AVE|T143|6500  N OAK PARK AVE, Chicago, IL|41.999128999999996|-87.795585|8|1|1
2227|2007-08-21|3600 North Pittsburgh Avenue, Chicago, IL 60634, USA|CULEX PIPIENS|36| N PITTSBURGH AVE|T011|3600  N PITTSBURGH AVE, Chicago, IL|41.944869|-87.832763|8|11|1
2228|2007-08-21|7200 North Oketo Avenue, Chicago, IL 60631, USA|CULEX PIPIENS/RESTUANS|72| N OKETO AVE|T016|7200  N OKETO AVE, Chicago, IL|42.011601|-87.81150600000001|8|4|1
2239|2007-08-21|1400 North Sacramento Avenue, Chicago, IL 60622, USA|CULEX PIPIENS|14| N HUMBOLDT DR|T033|1400  N HUMBOLDT DR, Chicago, IL|41.906638|-87.701431|9|8|1
2241|2007-08-21|South Vincennes Avenue, Chicago, IL, USA|CULEX PIPIENS|10| S VINCENNES|T089|1000  S VINCENNES, Chicago, IL|41.723195000000004|-87.64997|5|5|1
2243|2007-08-21|University of Illinois at Chicago, 1100 South Ashland Avenue, Chicago, IL 60607, USA|CULEX PIPIENS|11| S ASHLAND AVE|T090|1100  S ASHLAND AVE, Chicago, IL|41.868077|-87.666901|9|7|1
2258|2007-08-21|7000 West Armitage Avenue, Chicago, IL 60707, USA|CULEX PIPIENS/RESTUANS|70|  W ARMITAGE AVENUE|T151|7000   W ARMITAGE AVENUE, Chicago, IL|41.916265|-87.800515|8|18|1
2271|2007-08-21|4600 Milwaukee Avenue, Chicago, IL 60630, USA|CULEX PIPIENS|46| N MILWAUKEE AVE|T003|4600  N MILWAUKEE AVE, Chicago, IL|41.964242|-87.757639|8|23|1
2272|2007-08-21|6000 North Avondale Avenue, Chicago, IL 60631, USA|CULEX PIPIENS/RESTUANS|60| N AVONDALE AVE|T006|6000  N AVONDALE AVE, Chicago, IL|41.990284|-87.797127|8|1|1
2273|2007-08-21|6000 North Avondale Avenue, Chicago, IL 60631, USA|CULEX PIPIENS|60| N AVONDALE AVE|T006|6000  N AVONDALE AVE, Chicago, IL|41.990284|-87.797127|8|9|1
2274|2007-08-21|7000 North Moselle Avenue, Chicago, IL 60646, USA|CULEX PIPIENS/RESTUANS|70| N MOSELL AVE|T008|7000  N MOSELL AVE, Chicago, IL|42.008314|-87.77792099999999|9|6|1
2295|2007-08-21|6400 West Strong Street, Chicago, IL, USA|CULEX PIPIENS/RESTUANS|64| W STRONG ST|T014|6400  W STRONG ST, Chicago, IL|41.970248|-87.787992|8|22|1
2296|2007-08-21|6400 West Strong Street, Chicago, IL, USA|CULEX PIPIENS|64| W STRONG ST|T014|6400  W STRONG ST, Chicago, IL|41.970248|-87.787992|8|23|1
2303|2007-08-21|2000 East 111th Street, Chicago, IL 60628, USA|CULEX PIPIENS|20| E 111TH ST|T084|2000  E 111TH ST, Chicago, IL|41.692555|-87.598865|8|7|1
2317|2007-08-21|4200 West 31st Street, Chicago, IL 60623, USA|CULEX PIPIENS|42| W 31ST ST|T036|4200  W 31ST ST, Chicago, IL|41.837084999999995|-87.729384|9|5|1
2318|2007-08-21|1700 North Pulaski Road, Chicago, IL 60639, USA|CULEX PIPIENS/RESTUANS|17| N PULASKI RD|T039|1700  N PULASKI RD, Chicago, IL|41.911823999999996|-87.726737|9|28|1
2322|2007-08-21|2200 West 51st Street, Chicago, IL 60609, USA|CULEX PIPIENS/RESTUANS|22| W 51ST ST|T061|2200  W 51ST ST, Chicago, IL|41.801179|-87.679447|8|13|1
2324|2007-08-21|2200 West 51st Street, Chicago, IL 60609, USA|CULEX PIPIENS|22| W 51ST ST|T061|2200  W 51ST ST, Chicago, IL|41.801179|-87.679447|8|18|1
2333|2007-08-21|Chicago Midway International Airport (MDW), 5200 West 63rd Street, Chicago, IL 60638, USA|CULEX PIPIENS|52| W 63RD ST|T065|5200  W 63RD ST, Chicago, IL|41.778296999999995|-87.752411|9|27|1
2334|2007-08-21|Chicago Midway International Airport (MDW), 5200 West 63rd Street, Chicago, IL 60638, USA|CULEX PIPIENS|52| W 63RD ST|T065|5200  W 63RD ST, Chicago, IL|41.778296999999995|-87.752411|9|40|1
2342|2007-08-21|5200 South Nordica Avenue, Chicago, IL 60638, USA|CULEX PIPIENS/RESTUANS|52| S NORDICA|T070|5200  S NORDICA, Chicago, IL|41.797616|-87.797894|8|13|1
2343|2007-08-21|5200 South Nordica Avenue, Chicago, IL 60638, USA|CULEX PIPIENS|52| S NORDICA|T070|5200  S NORDICA, Chicago, IL|41.797616|-87.797894|8|10|1
